date,is_weekend,trip_count,day_of_week
2019-12-31,0,22.0,Tuesday
2020-01-01,0,7779.0,Wednesday
2020-01-02,0,19146.0,Thursday
2020-01-03,0,14748.0,Friday
2020-01-04,1,13507.0,Saturday
2020-01-05,1,12428.0,Sunday
2020-01-06,0,19903.0,Monday
2020-01-07,0,21832.0,Tuesday
2020-01-08,0,19948.0,Wednesday
2020-01-09,0,18399.0,Thursday
2020-01-10,0,24052.0,Friday
2020-01-11,1,25674.0,Saturday
2020-01-12,1,24297.0,Sunday
2020-01-13,0,23303.0,Monday
2020-01-14,0,20890.0,Tuesday
2020-01-15,0,25517.0,Wednesday
2020-01-16,0,21393.0,Thursday
2020-01-17,0,16041.0,Friday
2020-01-18,1,5944.0,Saturday
2020-01-19,1,11775.0,Sunday
2020-01-20,0,11243.0,Monday
2020-01-21,0,17778.0,Tuesday
2020-01-22,0,20438.0,Wednesday
2020-01-23,0,22670.0,Thursday
2020-01-24,0,24085.0,Friday
2020-01-25,1,8123.0,Saturday
2020-01-26,1,16373.0,Sunday
2020-01-27,0,22075.0,Monday
2020-01-28,0,22957.0,Tuesday
2020-01-29,0,22619.0,Wednesday
2020-01-30,0,21646.0,Thursday
2020-01-31,0,22204.0,Friday
2020-02-01,1,16322.0,Saturday
2020-02-02,1,12734.0,Sunday
2020-02-03,0,25138.0,Monday
2020-02-04,0,24633.0,Tuesday
2020-02-05,0,23958.0,Wednesday
2020-02-06,0,15211.0,Thursday
2020-02-07,0,15478.0,Friday
2020-02-08,1,15032.0,Saturday
2020-02-09,1,15044.0,Sunday
2020-02-10,0,12745.0,Monday
2020-02-11,0,17708.0,Tuesday
2020-02-12,0,23116.0,Wednesday
2020-02-13,0,17757.0,Thursday
2020-02-14,0,17224.0,Friday
2020-02-15,1,9928.0,Saturday
2020-02-16,1,12369.0,Sunday
2020-02-17,0,18699.0,Monday
2020-02-18,0,20966.0,Tuesday
2020-02-19,0,23337.0,Wednesday
2020-02-20,0,20109.0,Thursday
2020-02-21,0,18402.0,Friday
2020-02-22,1,18106.0,Saturday
2020-02-23,1,21037.0,Sunday
2020-02-24,0,26477.0,Monday
2020-02-25,0,18534.0,Tuesday
2020-02-26,0,21373.0,Wednesday
2020-02-27,0,20575.0,Thursday
2020-02-28,0,20614.0,Friday
2020-02-29,1,13448.0,Saturday
2020-03-01,1,14597.0,Sunday
2020-03-02,0,26746.0,Monday
2020-03-03,0,23431.0,Tuesday
2020-03-04,0,27640.0,Wednesday
2020-03-05,0,27663.0,Thursday
2020-03-06,0,15870.0,Friday
2020-03-07,1,17748.0,Saturday
2020-03-08,1,21145.0,Sunday
2020-03-09,0,31764.0,Monday
2020-03-10,0,29446.0,Tuesday
2020-03-11,0,28142.0,Wednesday
2020-03-12,0,23314.0,Thursday
2020-03-13,0,19219.0,Friday
2020-03-14,1,18884.0,Saturday
2020-03-15,1,15066.0,Sunday
2020-03-16,0,13030.0,Monday
2020-03-17,0,10566.0,Tuesday
2020-03-18,0,12947.0,Wednesday
2020-03-19,0,8826.0,Thursday
2020-03-20,0,13287.0,Friday
2020-03-21,1,13045.0,Saturday
2020-03-22,1,8091.0,Sunday
2020-03-23,0,1767.0,Monday
2020-03-24,0,8547.0,Tuesday
2020-03-25,0,5159.0,Wednesday
2020-03-26,0,9049.0,Thursday
2020-03-27,0,10627.0,Friday
2020-03-28,1,3766.0,Saturday
2020-03-29,1,4169.0,Sunday
2020-03-30,0,6214.0,Monday
2020-03-31,0,6269.0,Tuesday
2020-04-01,0,8467.0,Wednesday
2020-04-02,0,7864.0,Thursday
2020-04-03,0,4707.0,Friday
2020-04-04,1,11758.0,Saturday
2020-04-05,1,10533.0,Sunday
2020-04-06,0,9855.0,Monday
2020-04-07,0,9501.0,Tuesday
2020-04-08,0,8623.0,Wednesday
2020-04-09,0,5980.0,Thursday
2020-04-10,0,6986.0,Friday
2020-04-11,1,13560.0,Saturday
2020-04-12,1,13054.0,Sunday
2020-04-13,0,3225.0,Monday
2020-04-14,0,10221.0,Tuesday
2020-04-15,0,9246.0,Wednesday
2020-04-16,0,8091.0,Thursday
2020-04-17,0,7947.0,Friday
2020-04-18,1,6887.0,Saturday
2020-04-19,1,19270.0,Sunday
2020-04-20,0,9193.0,Monday
2020-04-21,0,7287.0,Tuesday
2020-04-22,0,9879.0,Wednesday
2020-04-23,0,8041.0,Thursday
2020-04-24,0,5444.0,Friday
2020-04-25,1,24055.0,Saturday
2020-04-26,1,3952.0,Sunday
2020-04-27,0,7523.0,Monday
2020-04-28,0,16088.0,Tuesday
2020-04-29,0,9017.0,Wednesday
2020-04-30,0,6331.0,Thursday
2020-05-01,0,10540.0,Friday
2020-05-02,1,29384.0,Saturday
2020-05-03,1,25051.0,Sunday
2020-05-04,0,13106.0,Monday
2020-05-05,0,14171.0,Tuesday
2020-05-06,0,7242.0,Wednesday
2020-05-07,0,17736.0,Thursday
2020-05-08,0,7155.0,Friday
2020-05-09,1,11385.0,Saturday
2020-05-10,1,21929.0,Sunday
2020-05-11,0,9403.0,Monday
2020-05-12,0,14752.0,Tuesday
2020-05-13,0,16509.0,Wednesday
2020-05-14,0,16618.0,Thursday
2020-05-15,0,21101.0,Friday
2020-05-16,1,31622.0,Saturday
2020-05-17,1,25088.0,Sunday
2020-05-18,0,15790.0,Monday
2020-05-19,0,16207.0,Tuesday
2020-05-20,0,18654.0,Wednesday
2020-05-21,0,19554.0,Thursday
2020-05-22,0,19073.0,Friday
2020-05-23,1,9512.0,Saturday
2020-05-24,1,28523.0,Sunday
2020-05-25,0,26839.0,Monday
2020-05-26,0,20880.0,Tuesday
2020-05-27,0,21832.0,Wednesday
2020-05-28,0,18885.0,Thursday
2020-05-29,0,21289.0,Friday
2020-05-30,1,34880.0,Saturday
2020-05-31,1,31999.0,Sunday
2020-06-01,0,21462.0,Monday
2020-06-02,0,19319.0,Tuesday
2020-06-03,0,12251.0,Wednesday
2020-06-04,0,16238.0,Thursday
2020-06-05,0,13383.0,Friday
2020-06-06,1,22597.0,Saturday
2020-06-07,1,31216.0,Sunday
2020-06-08,0,23786.0,Monday
2020-06-09,0,24355.0,Tuesday
2020-06-10,0,25082.0,Wednesday
2020-06-11,0,17869.0,Thursday
2020-06-12,0,27993.0,Friday
2020-06-13,1,35046.0,Saturday
2020-06-14,1,30428.0,Sunday
2020-06-15,0,22861.0,Monday
2020-06-16,0,26089.0,Tuesday
2020-06-17,0,25511.0,Wednesday
2020-06-18,0,24506.0,Thursday
2020-06-19,0,30811.0,Friday
2020-06-20,1,31260.0,Saturday
2020-06-21,1,27924.0,Sunday
2020-06-22,0,24204.0,Monday
2020-06-23,0,27080.0,Tuesday
2020-06-24,0,27359.0,Wednesday
2020-06-25,0,28248.0,Thursday
2020-06-26,0,30047.0,Friday
2020-06-27,1,24076.0,Saturday
2020-06-28,1,28205.0,Sunday
2020-06-29,0,25323.0,Monday
2020-06-30,0,26444.0,Tuesday
2020-07-01,0,26145.0,Wednesday
2020-07-02,0,29747.0,Thursday
2020-07-03,0,23495.0,Friday
2020-07-04,1,27339.0,Saturday
2020-07-05,1,25221.0,Sunday
2020-07-06,0,18817.0,Monday
2020-07-07,0,27939.0,Tuesday
2020-07-08,0,26573.0,Wednesday
2020-07-09,0,31808.0,Thursday
2020-07-10,0,9401.0,Friday
2020-07-11,1,27305.0,Saturday
2020-07-12,1,34174.0,Sunday
2020-07-13,0,29087.0,Monday
2020-07-14,0,32568.0,Tuesday
2020-07-15,0,32951.0,Wednesday
2020-07-16,0,33116.0,Thursday
2020-07-17,0,29548.0,Friday
2020-07-18,1,33322.0,Saturday
2020-07-19,1,27671.0,Sunday
2020-07-20,0,24926.0,Monday
2020-07-21,0,29922.0,Tuesday
2020-07-22,0,22059.0,Wednesday
2020-07-23,0,28206.0,Thursday
2020-07-24,0,28520.0,Friday
2020-07-25,1,36222.0,Saturday
2020-07-26,1,30322.0,Sunday
2020-07-27,0,26717.0,Monday
2020-07-28,0,29927.0,Tuesday
2020-07-29,0,32732.0,Wednesday
2020-07-30,0,30826.0,Thursday
2020-07-31,0,29873.0,Friday
2020-08-01,1,36456.0,Saturday
2020-08-02,1,28500.0,Sunday
2020-08-03,0,28071.0,Monday
2020-08-04,0,19052.0,Tuesday
2020-08-05,0,34457.0,Wednesday
2020-08-06,0,33293.0,Thursday
2020-08-07,0,25327.0,Friday
2020-08-08,1,36676.0,Saturday
2020-08-09,1,33129.0,Sunday
2020-08-10,0,28512.0,Monday
2020-08-11,0,31618.0,Tuesday
2020-08-12,0,28240.0,Wednesday
2020-08-13,0,26284.0,Thursday
2020-08-14,0,34598.0,Friday
2020-08-15,1,38294.0,Saturday
2020-08-16,1,15906.0,Sunday
2020-08-17,0,29492.0,Monday
2020-08-18,0,34534.0,Tuesday
2020-08-19,0,30114.0,Wednesday
2020-08-20,0,33951.0,Thursday
2020-08-21,0,35372.0,Friday
2020-08-22,1,35567.0,Saturday
2020-08-23,1,33091.0,Sunday
2020-08-24,0,29899.0,Monday
2020-08-25,0,30491.0,Tuesday
2020-08-26,0,36973.0,Wednesday
2020-08-27,0,28711.0,Thursday
2020-08-28,0,33123.0,Friday
2020-08-29,1,30085.0,Saturday
2020-08-30,1,37989.0,Sunday
2020-08-31,0,32100.0,Monday
2020-09-01,0,31958.0,Tuesday
2020-09-02,0,29472.0,Wednesday
2020-09-03,0,29509.0,Thursday
2020-09-04,0,35156.0,Friday
2020-09-05,1,36183.0,Saturday
2020-09-06,1,33144.0,Sunday
2020-09-07,0,33733.0,Monday
2020-09-08,0,33492.0,Tuesday
2020-09-09,0,35427.0,Wednesday
2020-09-10,0,22855.0,Thursday
2020-09-11,0,40052.0,Friday
2020-09-12,1,41989.0,Saturday
2020-09-13,1,34987.0,Sunday
2020-09-14,0,33557.0,Monday
2020-09-15,0,35751.0,Tuesday
2020-09-16,0,37389.0,Wednesday
2020-09-17,0,37340.0,Thursday
2020-09-18,0,38679.0,Friday
2020-09-19,1,37854.0,Saturday
2020-09-20,1,32636.0,Sunday
2020-09-21,0,31304.0,Monday
2020-09-22,0,35804.0,Tuesday
2020-09-23,0,38870.0,Wednesday
2020-09-24,0,36992.0,Thursday
2020-09-25,0,40409.0,Friday
2020-09-26,1,41853.0,Saturday
