hour,trip_count,net_demand
2019-12-31 22:00:00,4.0,4.0
2019-12-31 23:00:00,18.0,18.0
2020-01-01 00:00:00,220.0,60.0
2020-01-01 01:00:00,277.0,33.0
2020-01-01 02:00:00,178.0,-24.0
2020-01-01 03:00:00,108.0,11.0
2020-01-01 04:00:00,52.0,1.0
2020-01-01 05:00:00,42.0,3.0
2020-01-01 06:00:00,39.0,-3.0
2020-01-01 07:00:00,76.0,1.0
2020-01-01 08:00:00,150.0,-7.0
2020-01-01 09:00:00,202.0,-21.0
2020-01-01 10:00:00,331.0,40.0
2020-01-01 11:00:00,485.0,37.0
2020-01-01 12:00:00,575.0,-22.0
2020-01-01 13:00:00,680.0,15.0
2020-01-01 14:00:00,639.0,-25.0
2020-01-01 15:00:00,666.0,-46.0
2020-01-01 16:00:00,692.0,-8.0
2020-01-01 17:00:00,549.0,-13.0
2020-01-01 18:00:00,542.0,-17.0
2020-01-01 19:00:00,407.0,-27.0
2020-01-01 20:00:00,325.0,-12.0
2020-01-01 21:00:00,237.0,21.0
2020-01-01 22:00:00,198.0,12.0
2020-01-01 23:00:00,109.0,-7.0
2020-01-02 00:00:00,71.0,-1.0
2020-01-02 01:00:00,42.0,5.0
2020-01-02 02:00:00,15.0,-4.0
2020-01-02 03:00:00,15.0,2.0
2020-01-02 04:00:00,31.0,5.0
2020-01-02 05:00:00,138.0,32.0
2020-01-02 06:00:00,446.0,69.0
2020-01-02 07:00:00,870.0,51.0
2020-01-02 08:00:00,1670.0,175.0
2020-01-02 09:00:00,1261.0,-166.0
2020-01-02 10:00:00,743.0,-19.0
2020-01-02 11:00:00,818.0,57.0
2020-01-02 12:00:00,1001.0,47.0
2020-01-02 13:00:00,1072.0,-39.0
2020-01-02 14:00:00,1091.0,-31.0
2020-01-02 15:00:00,1312.0,52.0
2020-01-02 16:00:00,1584.0,-14.0
2020-01-02 17:00:00,2126.0,-77.0
2020-01-02 18:00:00,1830.0,-129.0
2020-01-02 19:00:00,1204.0,-43.0
2020-01-02 20:00:00,701.0,-11.0
2020-01-02 21:00:00,503.0,8.0
2020-01-02 22:00:00,378.0,50.0
2020-01-02 23:00:00,224.0,-8.0
2020-01-03 00:00:00,123.0,6.0
