start_station_name,hour,day_of_week,trip_count
1 Ave & E 16 St,0,Friday,3.3783784
1 Ave & E 16 St,0,Monday,1.7118644
1 Ave & E 16 St,0,Saturday,5.756757
1 Ave & E 16 St,0,Sunday,5.3040543
1 Ave & E 16 St,0,Thursday,2.7364864
1 Ave & E 16 St,0,Tuesday,1.7322034
1 Ave & E 16 St,0,Wednesday,2.0033784
1 Ave & E 16 St,1,Friday,1.7263514
1 Ave & E 16 St,1,Monday,0.95932204
1 Ave & E 16 St,1,Saturday,4.060811
1 Ave & E 16 St,1,Sunday,4.0878377
1 Ave & E 16 St,1,Thursday,1.2702702
1 Ave & E 16 St,1,Tuesday,0.779661
1 Ave & E 16 St,1,Wednesday,1.0506756
1 Ave & E 16 St,2,Friday,1.0304054
1 Ave & E 16 St,2,Monday,0.5220339
1 Ave & E 16 St,2,Saturday,3.1283784
1 Ave & E 16 St,2,Sunday,3.1520271
1 Ave & E 16 St,2,Thursday,0.6182432
1 Ave & E 16 St,2,Tuesday,0.45762712
1 Ave & E 16 St,2,Wednesday,0.5236486
1 Ave & E 16 St,3,Friday,0.5574324
1 Ave & E 16 St,3,Monday,0.36949152
1 Ave & E 16 St,3,Saturday,2.3006756
1 Ave & E 16 St,3,Sunday,2.2364864
1 Ave & E 16 St,3,Thursday,0.375
1 Ave & E 16 St,3,Tuesday,0.3457627
1 Ave & E 16 St,3,Wednesday,0.3614865
1 Ave & E 16 St,4,Friday,0.5371622
1 Ave & E 16 St,4,Monday,0.47118643
1 Ave & E 16 St,4,Saturday,1.2972972
1 Ave & E 16 St,4,Sunday,1.4628378
1 Ave & E 16 St,4,Thursday,0.38513514
1 Ave & E 16 St,4,Tuesday,0.36949152
1 Ave & E 16 St,4,Wednesday,0.4493243
1 Ave & E 16 St,5,Friday,2.375
1 Ave & E 16 St,5,Monday,2.1898305
1 Ave & E 16 St,5,Saturday,0.9087838
1 Ave & E 16 St,5,Sunday,0.7837838
1 Ave & E 16 St,5,Thursday,2.4087837
1 Ave & E 16 St,5,Tuesday,2.7288136
1 Ave & E 16 St,5,Wednesday,2.662162
1 Ave & E 16 St,6,Friday,6.8378377
1 Ave & E 16 St,6,Monday,6.101695
1 Ave & E 16 St,6,Saturday,2.945946
1 Ave & E 16 St,6,Sunday,2.337838
1 Ave & E 16 St,6,Thursday,7.3547297
1 Ave & E 16 St,6,Tuesday,8.125423
1 Ave & E 16 St,6,Wednesday,8.0777025
1 Ave & E 16 St,7,Friday,9.442568
1 Ave & E 16 St,7,Monday,9.349153
1 Ave & E 16 St,7,Saturday,3.9966216
1 Ave & E 16 St,7,Sunday,3.2736487
1 Ave & E 16 St,7,Thursday,10.969595
1 Ave & E 16 St,7,Tuesday,11.827119
1 Ave & E 16 St,7,Wednesday,12.351352
1 Ave & E 16 St,8,Friday,13.817568
1 Ave & E 16 St,8,Monday,14.423729
1 Ave & E 16 St,8,Saturday,5.756757
1 Ave & E 16 St,8,Sunday,4.5202703
1 Ave & E 16 St,8,Thursday,18.452703
1 Ave & E 16 St,8,Tuesday,18.38983
1 Ave & E 16 St,8,Wednesday,19.908783
1 Ave & E 16 St,9,Friday,12.9527025
1 Ave & E 16 St,9,Monday,11.301695
1 Ave & E 16 St,9,Saturday,8.456081
1 Ave & E 16 St,9,Sunday,6.5709457
1 Ave & E 16 St,9,Thursday,14.658784
1 Ave & E 16 St,9,Tuesday,12.979661
1 Ave & E 16 St,9,Wednesday,14.932432
1 Ave & E 16 St,10,Friday,9.959459
1 Ave & E 16 St,10,Monday,7.2
1 Ave & E 16 St,10,Saturday,10.810811
1 Ave & E 16 St,10,Sunday,8.527027
1 Ave & E 16 St,10,Thursday,8.7331085
1 Ave & E 16 St,10,Tuesday,7.935593
1 Ave & E 16 St,10,Wednesday,9.182432
1 Ave & E 16 St,11,Friday,9.780405
1 Ave & E 16 St,11,Monday,7.555932
1 Ave & E 16 St,11,Saturday,12.0777025
1 Ave & E 16 St,11,Sunday,10.679054
1 Ave & E 16 St,11,Thursday,8.070946
1 Ave & E 16 St,11,Tuesday,7.281356
1 Ave & E 16 St,11,Wednesday,8.388514
1 Ave & E 16 St,12,Friday,10.594595
1 Ave & E 16 St,12,Monday,8.481356
1 Ave & E 16 St,12,Saturday,13.625
1 Ave & E 16 St,12,Sunday,11.550675
1 Ave & E 16 St,12,Thursday,9.496622
1 Ave & E 16 St,12,Tuesday,8.749152
1 Ave & E 16 St,12,Wednesday,9.253378
1 Ave & E 16 St,13,Friday,11.222973
1 Ave & E 16 St,13,Monday,9.159322
1 Ave & E 16 St,13,Saturday,13.7027025
1 Ave & E 16 St,13,Sunday,11.915541
1 Ave & E 16 St,13,Thursday,9.304054
1 Ave & E 16 St,13,Tuesday,9.569491
1 Ave & E 16 St,13,Wednesday,9.510135
1 Ave & E 16 St,14,Friday,11.570946
1 Ave & E 16 St,14,Monday,9.430509
